media_name,url,image_path,timestamp,country,factuality,trustworthiness,bias,genre,credibility,media_type,freedom_rating,traffic
100 Mile Free Press,https://100milefreepress.net,sub-samples/100_Mile_Free_Press.png,2026-06-05 01:48:52,,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,EXCELLENT,
247Sports,https://247sports.com,sub-samples/247Sports.png,2026-06-05 01:48:52,,HIGH,1,LEAST BIASED,General News,HIGH CREDIBILITY,,MOSTLY FREE,
ABC News/Washington Post Polling,https://langerresearch.com,sub-samples/ABC_News_Washington_Post_Polling.png,2026-06-05 01:48:52,,VERY HIGH,1,LEAST BIASED,Pollsters,HIGH CREDIBILITY,,MOSTLY FREE,
Adams.News,https://adams.news,sub-samples/Adams.News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,
Addiction.News,https://addiction.news,sub-samples/Addiction.News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,
Air Force Times,https://airforcetimes.com,sub-samples/Air_Force_Times.png,2026-06-05 01:48:52,USA,HIGH,1,LEAST BIASED,General News,HIGH CREDIBILITY,,,
Alan Guttmacher Institute,https://guttmacher.org,sub-samples/Alan_Guttmacher_Institute.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Political Advocacy,HIGH CREDIBILITY,,MOSTLY FREE,
Albuquerque Journal,https://abqjournal.com,sub-samples/Albuquerque_Journal.png,2026-06-05 01:48:52,USA,HIGH,1,RIGHT-CENTER,Local News,HIGH CREDIBILITY,,,
Alliance Defending Freedom,https://adflegal.org,sub-samples/Alliance_Defending_Freedom.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,
Alpha News,https://alphanews.org,sub-samples/Alpha_News.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,
Aluminum.News,https://aluminum.news,sub-samples/Aluminum.News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,
America First Legal,https://aflegal.org,sub-samples/America_First_Legal.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,
American Free Press,https://americanfreepress.net,sub-samples/American_Free_Press.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,
